关卡牌局代码,地形编号,开始次数,净过关次数,净胜率(%),ReplayCode,模拟胜利,模拟失败,模拟胜率(%),模拟平均步数,耗时ms,地形总牌数
7-7-5-21-1871507234,100085,61,35,57.38,BcE7AQIwDAXAlzRt0v8XNiYcoAUtDKhDBlIYuZPn5fr9nfvr9gYIADuI+ABmYpAam1c4thBFk+YilVr30QWKY9bV99S6BtnQJKnnWdo+cvbJxZotfB5/,171,29,85.50,84.0,349,84
5-8-1-13-1396551402,100028,61,43,70.49,HclJEYAwFATRyfwdBxgBdSjijBME4CK3QIpbv2rdlnN9r/vYHzSSouaAu8EDETITP+ZUelItG0KijFksQx8f,194,6,97.00,54.0,316,54
9-8-9-9-1482000657,100088,61,42,68.85,FcuxAYQACATBgwMO27AIa7Cg7+1T2zCzBwNTMZsNNvYln/tY/78NMLgxDIz09CJFjpXek1ViDNT9SYgalNl8sBJamACu8wU=,200,0,100.00,72.0,2267,72
7-7-6-13-1483861591,100084,61,1,1.64,Dcg5EQIBEATAfWb/xQF+zgYR5KjABTmFDIRxUVc17pfv5/p7Pl5vYhIlVoY5TE49XCLJxDxRPTRRwRqOnazijhwO1HaJdzrt1IxXLc7mUAImVWaNyNDwbbodfw==,17,183,8.50,102.0,3395,102
2-5-5-13-760443656,100020,61,28,45.9,DcJBEYAwDATApEna66X4QEcHLwhAGR98UEWwsz6341zrueMVLaZuHlFbQ3dmOAJU11alWOYIwjMZOWhFqnYoafgPdFCu/QM=,188,12,94.00,66.0,219,66
8-8-4-15-1958436270,100048,61,38,62.3,Dcc7FYAwDAXQfF6TJm05SGFCAJZQhAVGBDCiiW734lje9c5vu05iISUVJhAmC8DF4FyhoQERDkPOSutFq1lEDus5fPTW3IL25wc=,200,0,100.00,66.0,359,66
1-5-2-11-184085569,100009,61,13,21.31,Y9Hi2n4++ryoVGg2AwMjEyMDEzMLEyszGzsrExsLEyMHJxMnkMnBxszKyszKxMTMwczCyc5wei8A,152,48,76.00,42.0,75,42
5-3-1-16-429515381,100076,61,32,52.46,BcG5FcJQDATAlbS6/kHiR0gLLsQlkBLRLgW4Fmb4ftyv4/6d3w9EjSpGiHsk6dWNNHpHK7XGcMByGmaZeKmuLaZOUxVPxNqriT1C2oVZMwKVJnhefw==,193,7,96.50,90.0,883,90
7-4-6-11-478305339,100004,61,1,1.64,FcHLDUBQEAXQO9878yTa0ISowUY9ehRrC5WIc3yd7ne/zmc+IGoupmGq8jOERtJY3potEQVB5hjNzG6SA21eCGzLBw==,199,1,99.50,60.0,236,60
9-8-2-12-1419201764,100057,61,51,83.61,DcjLFUBAEATA7vn07K5QcBOEm7i8x008YqOOFfu03cf8XssD0NzBSJUZy1URLbKUbqr/pK7MrhhuVQMYHWQjRA9DGlkNONcP,200,0,100.00,72.0,716,72
8-6-5-21-2013065901,100051,61,17,27.87,Fci7FQIwCABAICEQyD9xEmsncQJH0cbS1lF9XnnxcXm31/d6i09AIKQAkROKknA2NRQAJkbKwbVY5GpQnVr7Tx85tIlYAWIaa81NtmScoJ7PxjLUYafOJoNO6GWK68gO988P,105,95,52.50,105.0,715,105
1-5-7-17-1443608452,100083,61,22,36.07,Fcy7DQJBEATR3ZmevZ4fLpGQBSbWRXMSYRASseBjcpilJxX2y+v2fj7u32NM0TkHdNiyjY6IlEpPWnMFQHhtJsjCme4nszqWZruYqNpqdkRUJ4tE5v9kOj7XHw==,190,10,95.00,90.0,864,90
8-6-2-20-246385067,100070,61,4,6.56,Dcs5AQIwDADAPE3TJP0xAAJgQA82kMWAJJzQ/S69L8/f9XF73b+ACMSJOaHkLCCkSQkLCJKJOXiUSoGI2UquKmSuiZ2QM8TBTb0bDJ6lrNM5BdjclSnW6LVN32albomTbWjjpR3W5w8=,113,87,56.50,117.0,1463,117
3-5-8-12-964441242,200013,61,48,78.69,DcqrEYBADEXRl002XxztMIPFoWiFKjAURz/EXHHmyr68dq3b/XygwTJZTT3SQMwmba4FUCVIvSPGHCCrmalVpFlz9B04jx8=,199,1,99.50,63.0,271,63
3-3-1-20-1241170219,100063,61,25,40.98,Dcy5EcIwFEXR91dJ1m4SWiIidOoZuiGjFJohohgrujMnuPq6/X+P53F+3iAwiYKNzMU0sBrFZBu5pLCaonpw0Vwqm3PrpM5Jx2gEwUSByc4+FCV132OedWt19mXrlEGM+/cC,143,57,71.50,99.0,827,99
8-7-5-14-1636529749,100051,60,5,8.33,DclJFcJAEAXA38tM7xGBBc4IQkpywQIeMUCO9Urfx+e4vs+XniACiEmguvbiLcZgIUfotjDO0hvZa5GKwUx4lAbD7k7YcYdPpmQVC3rEvYaas6m3y0ZFVAcevz8=,177,23,88.50,105.0,1420,105
3-1-4-10-782174050,100081,60,46,76.67,HYjBEUBAEARn5mbZFYFsfH0kpQQhG1FIRzkeXdXdXqf5ufdtOQhKrQGmgoPHlpnhnxrGqi6OTkYv0Ioo0sgSZBL6poDrfAE=,182,18,91.00,72.0,1642,72
4-6-2-22-795512612,100036,60,27,45,Dca7FcIwDABASbYsS/7bTJchUtDzXqo0mSQTUDMOW8BV57fH/by+n+N9AiCSIwLPwQtHDciiBhox/sfKkHKp5lzrYy5gVVMKKEuaCicTKnP0XElqz2MWL5aMV1PYXz8=,197,3,98.50,90.0,453,90
5-1-6-11-1598070172,100004,60,0,0,DcixFUBAEATQ3ZvZmzmBihQhUYI69OgJRAKV8MPPZbre9TyeeYtsAWb1Urg53CtVkIdIaxSAXqZJ8D8JhOBo4bj3Dw==,200,0,100.00,60.0,373,60
6-4-5-15-1596996385,100063,60,12,20,Dc25EUEBFADAd9/vq0sklJpRiVSmBUWJFMM2sHI/fT/ny/X2egICALEoonlkKXaDgJCEJjrD7OGicJgdmK3mMEOxFYFNwG7bFFOd5bvDmDXK1Wsg2c30D96PHw==,187,13,93.50,99.0,1076,99
4-4-1-24-316768160,100065,60,11,18.33,Dcu5EcJADABAvSfpHt9jWqErUqpgaIyMBiiAoQCHON5ZuV3ev+/r+nwcAEiMIJrQnBJxZPWibhKu1VrzsORbV8MxlyS2yKCZkWTbu2HSPnehMzeiCghahhOfGIlirsJoYylAdYDP/Q8=,162,38,81.00,108.0,1749,108
5-1-6-11-1967492288,100004,60,0,0,DYq5EYBADMR2189hAiqiCBLquS4ojCEmoBI8yiT5vj7fcc93O0EZXZE2wg0LEGNYZoisUKYoefsqMht1VMD6BK4f,200,0,100.00,60.0,321,60
8-1-3-19-1939790407,100034,60,23,38.33,BcE5AYAwEATA270nf+hRlAZZ6MABFWbokMKMre2732udzyEAVcWcMHqEpFxKgWj11kcztpgDqkbrdJh3mRlakYQp+ySiMmII9x8=,198,2,99.00,72.0,262,72
6-4-1-14-439438760,100033,60,40,66.67,Dcg5AYAwEATA3c1dLg+SEICatFigwwIqkEKJDzpSzti6XPu4v+fdQEqAxEQmEzGFuZ4lc7ccHq4SrCVHqrXBo/XeSg8c5w8=,200,0,100.00,60.0,243,60
4-5-4-14-1849692381,100005,60,41,68.33,FcgxFYAwDEXRkDTNT9OipRpADj4Qw8yAAfSwM1HOO3d5aZm3a32fsx80sciQWEmyGuAlAvwv4zBDdowKTCGUVEvUBq81e2sRanTvHw==,190,10,95.00,66.0,229,66
7-8-2-17-1939938756,100096,60,17,28.33,Dci5EYNAEADBfW6/e7HIQJ5scsBVBDKJlyIg1prqKf9tP/bv/fldgEgEAMiUTRQukkBWcw+vVrSJdFNXqRJkrKT5NUBk8LDZW8ByBRvu+asI1hUdcLU54Tlf,163,37,81.50,96.0,1323,96
5-3-1-16-1077627885,100076,60,23,38.33,BcG5AcJADATAlbT67iFxTAsU5NQR7VKAO6ABImZ4Pu7ncX9e7wsialTC4JGuGl4JafOsYLPGnGYtQomiepqNoaRDBeqNXHunYS3tcLGuHYXpFHx/fw==,189,11,94.50,90.0,856,90
4-1-2-24-810124159,100051,60,22,36.67,Dcm5EcIwEADAe3WSTtZPJcTklEALlAIJLVCqne3Myvv2q9///SEfQEImEA120ZSRAgfWmCKKBYWYJSVnKUe+wlUAS9XWjPoxWp3U6zF7RmB0oLWKWNlrFATf29nKmMROAM/XCQ==,170,30,85.00,105.0,1504,105
9-2-1-21-626329478,100060,59,23,38.98,Fcu7DcMwDATQOx4pifqk9h7unCo7BMgOBrxZhozTv+fvx3c7ruf+eYE0iDKX3KLUhkQwkx3y0eeYWIjpJqT+OkbrFpYEHbrjzautsmpplJLCOn8=,182,18,91.00,84.0,694,84
8-4-3-18-251916796,400014,59,24,40.68,FcnLEUIhDADAfIGEQMCarMWDYwmWYVkWYBFW4EV9t51ZuZ2u78/j+7yfAYlFVEAQGA7y4UKVGpjjv5SkA4BR0BAvipNTk/pazEF7xN5hqBjBhk7FZhaulm24Z3PVLHP1WhAurx8=,174,26,87.00,108.0,2291,108
5-4-4-18-601057732,100052,59,18,30.51,BcHLEUIxCABACJ8QEgh5M46F2JwXS/FsA9ZkHe7y8+K8v1/fzw+wATE2YiEUZGbtYKP3PnyOpbrmNIs1m033MfrKbrqgITExNEGckTv2GrvOPiay3ZmRPE8IUp6qStUTO+sQYqsAQnjc/g==,194,6,97.00,120.0,860,120
7-3-6-11-552479556,100059,59,33,55.93,Dck7DYAADEXR/l9bPDCQsKACBwR/7NhCCt3uybV7ub7jjX1biVmYSJlVeHogRjrwEFFTmstCYXDA06qRhUJ3A2ibUd6ZWe4JFJ3PDw==,200,0,100.00,81.0,695,81
9-5-5-9-176701418,100008,59,29,49.15,BcExAYBADAPA5NOmRQMOcMCCGky8HtiZkIUH7mJb1vu4vv2dIDlERVphOFWjIQyzXQ26QmSCeM4f,196,4,98.00,42.0,101,42
8-7-6-13-1076968936,100092,59,42,71.19,Dcs5AYBADATAPJvLc8EDBW4QQ4cdlNDjADsw/WBf7F3Pe702YhZmVgUERmOIeViEpTknk2p6BUUpZLo1FYV3y6z2P1Zn6khMdNFzfA==,196,4,98.00,75.0,221,75
8-3-1-24-1729763168,100065,59,18,30.51,FYxJEQIxEADnTCaZ3GjBDBpwQmEHEfywQSGA52a/3V0t98vn931fn48/ACKxADASgUpARYobKCKbUNCk+dR+hsBWQvAStaZdsjQwlEAlWvU+us6Zxb2Nup9zoAKv5kZ9JcsLbq8D,167,33,83.50,108.0,828,108
1-7-8-19-1138944001,100096,59,12,20.34,Dca5EcJAEATA0e1z+548ZSAPm0DwqZKpeImAUKCt5ms/nsfjc75ubBi0MWToICX8O6cKiZo7BampZxG1RbtVqRGLR5YvBdcs74ZI+0It7zSzTIRVBmsU4/v+AQ==,159,41,79.50,96.0,1572,96
8-5-6-14-43439944,400014,59,19,32.2,HYtJDUJBFMDevg+qUEOQgAws4AYpYIALzOfWpqlcT5fX5/593s6ABAxEIH9gJGQQUQE5lMl2M0PyyOoMLOZEUp/qXuNR0tW2ZlVHkiqExTZ107Q9uqvOOpaBx/sH,184,16,92.00,108.0,3662,108
2-8-3-18-1398053921,100036,59,31,52.54,BcE5AQIxFATQSTLJv3KtOQpkrIKtaFCCAmo6rOCC93g/Xufz97neD6RcSNQmTSEEjfSw1FstGdJpASrchRJmRvUuuVQZUwFiWopYa6tP3Su2DcowwAXf2x8=,191,9,95.50,90.0,731,90
1-4-2-15-1606361015,100047,59,25,42.37,DctJEYAwEATAmexmjyRYQAAC0EAVMpDDDx8IwgEyoP+t27S+17Hc+wwW0WoCGooRWlmdHiUpmnRhwKN1pP26Y4zhnWIikdlaICX+juf8AA==,195,5,97.50,72.0,1417,72
7-6-9-19-1119080543,100061,59,7,11.86,BcHBDUIxCABQCnwKhZa27ujFOIZHl/Bk4jqaOM5/j6+X5/f++7webyhQkAC4EONxSFUopsBNnUOodtZhkkY2R6LLwrFwrt1jcQ/Jlkp5VCrFfbiJRvbde/MdK3wuH8Mc4fY/AQ==,108,92,54.00,102.0,710,102
7-4-5-13-1588674999,100010,59,7,11.86,DcGxDYAwDATAt/OO48Ssg8Qg9OzACFRITEFJzYBwx3nalut4n/XETwBVLbTqzoJGc48uGBLamahtFDevI7uSoS2x3x8=,200,0,100.00,54.0,110,54
2-6-4-15-2100667442,100004,59,46,77.97,Dca7FYAwDANAOVFk5wM9a1AzBA3zsCOPmoJJ4KrjNt3vfp3PfMDMUiatyN1DVRWIv3JTcRZJtAZk9pFGar2Do0WWV6zLBw==,200,0,100.00,60.0,225,60
8-1-3-23-289492213,100061,59,5,8.47,Dcm5EQJBDARAaUba7/YnNHLAIwxMksCiinQgH67dttvl+b3/Pq/HWxQKQmlOUTdqiIkKEct0Rzk01hQ0BlRvfZRJrAZdgnOCJMazZCvLMPG8DwyloNqktb1mYO5drvgD,146,54,73.00,102.0,651,102
6-2-4-14-45306880,200010,59,0,0,DcKxFYAwCAXAD58ESOJAFpYu6AqZxsoZHMNKvXe2Lvuzzet+T4gSCoGxUKpbIJtIb9pZI/QPrxxDS2nGhA/JDgTm8QE=,39,161,19.50,57.0,189,57
8-1-4-23-548072587,100096,59,13,22.03,Dci7EQIxDAXA9yzJsvw9E1wHZMQUQgUkzNAqKRXBhqvPy3k/b9/r4w2QiRCF0jI9UQo0xKEpautFc6YNi1TBbNPTikg4svlYXWI6aosO7qKQ/x+k720cEavJxOvzAw==,165,35,82.50,96.0,1180,96
9-6-9-14-587598814,100016,59,44,74.58,Dcs7AYAwDAXApPn0JW2xgAJmJhYk1AQqkIsCDMDtp+eyvfNer+cgLiQq5soVFMhWW+ueDhmpKjBBpJNychTv3cGDBwpqguy/NPcP,195,5,97.50,66.0,256,66
1-3-2-15-951502622,100059,59,12,20.34,FYrLDYNAEMUm4c2b76YEDkhcaAbRFo2kk9SRUrK5WJZsXK/ze7y5b6s8ngt0QoVmUwwLxRFpYJXSsz0dZIGqVuGqs/7n7kiYG4IjuqtyjJbP/QM=,117,83,58.50,81.0,842,81
1-5-3-16-1177799493,100080,59,26,44.07,DcnBEYAgDATAQC4XIGBXzvCyF/++rMJirMQ2bEC/u1iX83ree59TkuSkCjFQ6cW8tpyi5R6F5uxEjRGV/i8UAWeojtGo1gvMfpRj+wA=,91,109,45.50,69.0,989,69
7-5-1-15-1331631942,100033,59,50,84.75,Dck7FYBADETRSTaZ/YQOOwjYBiu02EEFUijxQUded8+zbbnO4/6ed0IyqKigiIlpKe6sjehjUNFCYOoKegcYNUiO/J7e1x8=,200,0,100.00,60.0,362,60
7-9-4-16-1594877212,100051,59,12,20.34,DcXJDcIwEADA9d6X7fTCm4JSSvjQAr3xowoijTR8Hu/1+jyefAEMJBh3TEyExAiidvNhjsDhWR2gMdM4JQZQZK3pKFGrnW3uckFVdRmrBCy7WsxtbzXoTlBRh9/3Dw==,194,6,97.00,105.0,1556,105
1-8-4-17-1082829070,100075,58,35,60.34,Dca5EQJBDATAkWZXGu1DGuRCYVKXxDl4REI6JEFC0Fa3x+X83o738/6COdF66+FBs3C2bpkW6chMmkeEQPAfmgpOG5C5sybWxlpTJam2xp5DVbh+fg==,198,2,99.00,84.0,4096,84
4-2-6-14-736794182,100013,58,29,50,BcG5AYQwDARAWSt/u/I1QkgTpPREQVRDG4SkNxPH792frd3nZcUR1aJ4iz7c3aaZRw3alDSQkDIJDhIoipor2bHUxMZE1wKnffkH,198,2,99.00,72.0,354,72
7-5-3-21-751125349,100076,58,12,20.69,DczLFYMwDARA7UrCxj+wnWtaoCCuOaXdFEA6SA3hPm/sfFzPeX2O90tEQCoIURhVfAmRFuKacqmLt7jtawCk2V6cuQtKpns15fAtWR29D9cpwJzqqd3eeDfy+/4B,101,99,50.50,90.0,513,90
7-2-4-22-2145901784,400017,58,10,17.24,DcepAQIxEADAffNfkt2EDlDUhcKjMZRAJ0g6oCoYN3I/fW6Py/V1/gISgwCLkiAo6X8YWFlCVGAUUaaUpVRmagnp6COkBjA6Ss2hjIBxVm3dhh3H9OHopGoGfc05PdMoHvZePRpap7m2w/v5Aw==,186,14,93.00,117.0,1127,117
3-2-2-20-1621032757,500001,58,2,3.45,BcG5DcNADATA+8jlfbxPiVIVpAJUlRtybsCAC7ISzYRz+16fez9+f2OdD8QEsCAmyaU6iDZCrUgaEwrlqIBtloWykOkavI6hxQfjWPqYs3XmudYy79cD,199,1,99.50,78.0,280,78
2-5-4-13-346854737,100007,58,34,58.62,BcGxEYQwDARA6ayzT5a/nq+AnGYY2qIRQlJqYTe2X/Le/+f1mqMF2AcJk+SZnGU+QpjVrEq9e8qaJhSDTmgluFY6Kgs02nN8,199,1,99.50,69.0,467,69
9-2-8-21-2062185036,400013,58,35,60.34,Fci5AcIwDABAvXYsybLNJrRswgJUjMIw9FkpQyRprjj5Pl7/z3NvvzcgMQqgCDCwCALTLSoja9HKSAobMV9cW1uRVsxMaPPw7lkjM7Wb+ZjpYbE8ow13m2nLI/scaREroB8n,198,2,99.00,108.0,6012,108
2-9-7-14-96470487,200024,58,28,48.28,DcVBEYAwDATAS5vkkrbowAcv3ghAAEpQwAy28MMM7Gd1nc79ebfluCClqv2kwkv5c5g5Q5NIBhqVKWLRJQaEFB/moPfREBmSPRuBe/4A,200,0,100.00,72.0,227,72
5-4-2-21-84380694,100086,58,5,8.62,Dc27AQIwCABRSIAE8v+4gK3WbuYgti7iMrbuYdor3tHz8tu3x/V9/wA6h56ACVkIfIhqGlVNNJm6EFPW03JIOamEYlYtxdByJIbS0Y05s/d5rg1clhc6HqbGAn6vTkh1jEpAfQMwNnFnCK/vHw==,58,142,29.00,117.0,2266,117
7-6-1-24-2129755674,100084,58,8,13.79,Dce3EQIxEADAs9IZWeKv78mpgh4IyBnKoBjKgM1Wzsv7dXxu1/sTEIgQgQWU6b9SzSWCVCiymCdbBiK6tRZ9mPhsoeZha8JeSZB9bScPmpsLKyOBW5UwVNExevWE7+MH,50,150,25.00,102.0,2768,102
8-9-2-20-819213852,100095,58,22,37.93,Dcg7AQIwDATQS9Kk1/SLIiwwowIviMATExs24I2v3C+f7/V1m+8GEYXBRIp6VGdrkRRId2V4iHoCNthm+toxptWO/zrJUuhbkCOw7Jx5dmRdxuipgcfzBw==,180,20,90.00,90.0,672,90
5-6-3-14-1690128779,100041,58,26,44.83,Fcu5DYBADAVRX9/ew4tEDzQCEUVSDh0hcpZwnjR2Lpfy8T7bTiysJAZXdYeTRwEMgHg4S209Y+Lfo0cWFcp58ChZlXuOZi1r0Hp/,95,105,47.50,72.0,295,72
1-2-1-16-1738087515,100067,58,20,34.48,DcNZEcJADADQJM2xuXbrAF9884WHKml1VAhC0ABv5vFzv6/Pe5zfAxAAkTagjeVfCdVgDA8QHhhpVk3i7RI6syvLuMyFpIU5UGZW12KdrrqsPXNJBDM8Xj8=,199,1,99.50,90.0,2034,90
7-3-6-23-1902311363,100036,58,23,39.66,DcQ5AQJBDADAJPs/SfY9JahBBgqoaFCCAuqTQ48AmGLs9Xjdnp/z/n4AAgDSf2MRnQ9IMXnMpXIVUzQmzNRYAHMfVm2KXauaOaWJKDdmWIF2cER+u7UX6JA5uBe4fH8=,174,26,87.00,90.0,359,90
7-7-1-22-819264009,100094,58,20,34.48,Dca5EcMwDARAPBRxIPh5XIAUOHVVbsKdKFJdakecTTb9Xtd9nJ//txGxsCoJS5JtlUk3yWu0KJGKpmSAewlDWGQVgqF6C0T17u4YxZTbbBHmhj6zd8yIYaXaoPf+AA==,179,21,89.50,99.0,889,99
7-7-8-22-1760773097,100070,58,21,36.21,Dce7AQIhDADQAIEQwi98rHUALZzH0hUc7LaxdROveMXDz+X5uz5ur/sBxjp3sg7ReQcIgQJgZJvEBpMoYvSSc0lcm0foRUDPKg2uo7ZZOJH2rDJ0cK6DS51sZic2pqWlJY241uS9q4iNc26K8H3/AQ==,160,40,80.00,117.0,1110,117
3-6-6-9-1699774923,200003,58,23,39.66,Y9HiNDo2L70p+KILAyMTMwsrKwsbMzsLMwszAzMrKzMLOwsrMzsHGyMrEwc7OzMzOxMDIxsHwzQzAA==,191,9,95.50,42.0,91,42
7-2-7-10-2028599859,100072,58,19,32.76,DchJEYAwEATA2SOTWR5U4QAnqIkEpCAACTzQgC3y6+o8lnE/33mtG8wRCHezRGPznkEKYlR1ExkqFwooa7KaZKci5xaxvz8=,181,19,90.50,63.0,503,63
6-1-6-20-1839293273,100070,57,3,5.26,Dc25EQIxDEBRXV5b1mFtBUABEBBSC21QGCXRCQ7+zMu+fM7n7/q4ve9fQCQmZGkHSB+NQI9DmJSJJ5m3XSTCijFKcKIpNAvu7LYqKHrbUhcTS9UVJuUcM7YL1RNyLyRzeQCV+GpQ8Lr8AQ==,32,168,16.00,117.0,1946,117
9-6-5-19-1675169265,100064,57,14,24.56,DcS5AcIwDABAfZbkL5bFFrSswUowCGvAZNQU5IqT5+X9iNf9c/0BEhOeS2GiogZizooi7LVh6cNYpFbF5m30bja7KUIzIjjWHO7zGLWM2keXGVsILFnY9p5RUFdm7ASMyGjboebcR2PlVQjg9v0D,161,39,80.50,126.0,2090,126
4-5-1-18-1463868438,100066,57,5,8.77,Dcw5FQJBEAXAPmZ+d/851hQOiHloIEMPApCAJCIEsEmF1W7H5fm5fn+Pt6iZq5uo+6m3DlOxCGQxqzJSC8wxUXMlmaBhj6gIjbnKsrLRe3HFMEGcB/dGd1Be9z8=,64,136,32.00,93.0,1833,93
1-7-2-19-88107760,100078,57,16,28.07,DcqxEcIwEARA/Ul3/y/J8gx90IkTDzFUQUoNFEyC051t5/7+fV6P+/cohoJSW6Xk7qZAM7nAJMw9rQ/EzEqLTcggLwXUukbnyLlprVjTmdcwltvzDw==,175,25,87.50,81.0,1288,81
3-4-3-19-627224069,100052,57,24,42.11,FcVJgQIwDADApDmapml68EAJ3vgghTcGcIIHdOwyn+H7hfP6fLxfX8BCLCxKCFWxoBBXK81782iBysUdCmtv0E3cZAREZwJBzLm2Ypyce9e6Ru5pVcc5hi3+G1Stn1xjIc69cnZH+l0a3D5/,190,10,95.00,120.0,936,120
1-5-3-25-1193350459,100084,57,2,3.51,Dcm5EQIxDABA+6zPkuWfjA7oC3KqoAtmCBnKoDDYdOF6+rzP3/vt8QzxiCEmODAAJT5YspoUdIJctfVhqU5jJyzWbS1l7WqY/zvr0r2btDFHlUzA4rjJK7MLAGRiIi9IDOF1+QE=,5,195,2.50,102.0,4743,102
7-6-9-9-571924739,200015,57,16,28.07,BcGxDYBADANAx7E/YRIkJFpK6h+HYRiNnjnouNOxrPN+rnPfEAgyUmGNwjDCVoupRnU2q+CUncnqUdGm8b0/,199,1,99.50,54.0,325,54
9-4-5-11-457389949,200012,57,22,38.6,DchbAUBQEATQ2dm9+/IrgBSC6SGBMIRQQQIFOJ/H1mm+j21f3hOAUGnDKWYu7gr18L+zGlHJoTII7QxFhEQXcT0f,199,1,99.50,54.0,176,54
5-3-3-12-807300560,100085,57,12,21.05,FcepDQIBFAXA9/59IAkORUvUgthk+6QREiRh3Njzcnt/r4/X/QCFVHO6hUIQ6VJdYSJqA0R4ZJZBrUgR7mRnz3rXv6xexfQOch07SuL8/AA=,194,6,97.00,84.0,827,84
9-6-8-9-84274771,100081,57,29,50.88,HYu5DYBAEAO9n9d0QDekJDSFrhkKoh3EgSyNJhjnvqzPfR7bMMx5JNxQllFBstUqiV0MpTe9pc9nB7rTEl2m/2zAROLSCw==,172,28,86.00,72.0,1670,72
1-7-8-20-1577024819,100060,57,16,28.07,DcqxEcMwCAVQBAjpA5Jceg93SeXWde5ylx2yWYaM6/f0tf32x/d5vE8qXFi0miq10gHpRsKVjFwsTHPMygPC6S5OqYvXmIGGOQG1XO6RcTcg+rip0fX5Aw==,184,16,92.00,84.0,417,84
3-2-8-11-21090175,200004,57,12,21.05,Dcm7FUBQEEDBu7+3u84hUYNccyoQK0gpErUw6fg+vdu8XuezIKh5DLKo6EpUaYikW3IY6fSfXmWjheP+AA==,200,0,100.00,48.0,166,48
2-7-9-19-457728747,100050,57,29,50.88,BcG7AQIhEATQYWFh2A+YGZsbm9rBZRfYm/1cW/deOx7n53X9xvcPFEhtItpHBTi1GT0KktKBcFUtHrSWNCdTV5hXG8MSzkjutfqWmHum4P28AQ==,194,6,97.00,78.0,648,78
9-8-2-13-2004557500,100080,57,19,33.33,HcqxDYAwDARAv/NvJ2EupKzDCpmCYdiCjjWokUDo2uO6zP26j20Mg7kXhxFUUFTWlooQIS9iR0arpGXiz1LtpbcMA8PtAzufFw==,145,55,72.50,69.0,766,69
1-3-2-15-868732816,100059,57,24,42.11,DcnJDYAwDAXRxP5xvIUSOCBxoRlELbRAL7RFKeQyetLgWs7veGXf1lJqJS4VDUIdasLSnLsGgbxhKi2E3ecgAjJm3VSY0jRYgqEyRg5zi8xyPz8=,138,62,69.00,81.0,933,81
7-7-6-17-1226012823,200024,56,39,69.64,BcFJEYAwDADAXG16JsESL94IQABKUIAfLOCHGXZlW67j/fb1vAGBCAmQhVImSJoZoVQGpZZ6V8mIWsY082gR3asU8Rkq4rWNCJs63MGeHw==,199,1,99.50,72.0,172,72
5-4-3-12-1369787262,100014,56,44,78.57,FcU5EYAwFADRf59UVHSZiQBKdCIFKUgiFPtWrm3meY99PACI+LMCYtE1cw5S49RKJTIVL6UOwSzC6HY43g8=,200,0,100.00,54.0,204,54
8-9-1-15-2124481734,100020,56,19,33.93,DcuxFYAwDANR27GkOBTsxGMHRmA+GvYgE5Hqmn95bOc95/vgM4+W4EqkAKm3ImogSDEwPMpSC1gEoaScsN6y+xDWZNf+Aw==,143,57,71.50,66.0,281,66
3-3-2-12-940455322,100058,56,12,21.43,BcG5EYNAEATAmf1uH5nEQTQUyREBHvHIUAxy5anbjte1/e79fN4gBQI1OlRgsVaIugc90ry8Daloj/aKtpiJXtTKFLJUpsSmpZCDCU8K8f38AQ==,184,16,92.00,84.0,1072,84
6-9-6-13-55008938,100096,56,18,32.14,DcyrAcIADAXAJC//BNsN6tAMwgRIFMOiGYbaE6ev2/E47t/z+SYWBqk5G6DiwQi2TCcrQY+u0u7Fnd28BnKNKrXqwMIdOVCfodipEcmudd4VheZVf35/,188,12,94.00,96.0,2006,96
5-5-5-23-1194712918,100052,56,12,21.43,BcHJAQMhCABADxQURfHaVvPZUvJOA2kgzaSOnYHXBXK97+/nb6zzFnyIASkBJsjsgEqVFjvriMwzoym1Uealcw+W05tPboO1qU3vcah26ZG6nqUEPtaGwYYsHFOYe57Fg2mI9JkHhpaLscn87gc=,74,126,37.00,120.0,454,120
7-6-5-14-282138502,100084,56,10,17.86,Dca5FQEBFADAf99fBeojF226mS7knjIUxkQjt8vnff0+7s8XACAgIhHw/8QiaugBiSkRVsLaliASNbbrON0F4jG9W7XMWlMGM4RYhOJJ5ZEtipxo264Kx/kD,131,69,65.50,102.0,2897,102
7-2-1-15-2053540417,100090,56,11,19.64,DcrLDYNAFENRP9vzn0jZsEoRaYEWKA+JNiiFdqLM8l4dH6/7+3yubT8RFEQHTUUAFhES5RVI6zEQuchAmMty2VTVcnGvLQ2PUWfvmU1lTrx/fw==,139,61,69.50,81.0,1334,81
4-5-2-13-1880949270,100023,56,40,71.43,YzHjCfu/9PKha3k3GBgZGZgYGBiYWVhY2diANAMTCzsHCxMnGwcXCzMjGwMjGzsXNycbCyc3F1ABKwc3OxtQC+tsAA==,200,0,100.00,54.0,161,54
2-3-8-11-924603096,100010,56,4,7.14,DcexDYAwDARAv/NO8mYfJAahzy5USExCzWQMgEh3x3UZ23U8934avDBq61AqE6QkisR0bwaoRkmfc5WoEK11e78f,156,44,78.00,54.0,228,54
7-2-8-17-1030058095,100062,56,18,32.14,BcGxAcMgEANACQQ8/IOHyDKp3Lr2MN7OpTNABsgOudN7+92v7/4cJ5iYVSpLU4PJBPYKjpo9wuZa7mEES1J0aUV3G6BDcOUZaNM4Ej7XHw==,191,9,95.50,72.0,354,72
